"Video asset ID","Universal video ID","Page ID","Page name",Title,"Duration (sec)","Publish time","Custom labels","Data comment",Date,Impressions,Reach,"3-second video views","1-minute video views","Seconds viewed","Average Seconds viewed","3-Second viewers","1-minute viewers","3-second video views from Boosted posts","3-second video views from Organic posts","Reactions, Comments and Shares",Reactions,Comments,Shares,"1-minute video views from Recommendations","1-minute video views from Followers","1-minute video views from Shares","1-minute video views from Boosted posts","Seconds viewed from Recommendations","Seconds viewed from Followers","Seconds viewed from Shares","Seconds viewed from Boosted posts","Average Seconds viewed from Recommendations","Average Seconds viewed from Shares","Average Seconds viewed from Followers","Average Seconds viewed from Boosted posts","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions"
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,11/26/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,11/27/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,11/28/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,11/29/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,11/30/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/01/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/02/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/03/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/04/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/05/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
