"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Impressions,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Link Clicks","Matched Audience Targeting Consumption (Video Click)",REELS_PLAYS:COUNT,"Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions"
1118807800250019,100063624278058,"Bidhaan Health & Beauty","𝐒𝐞𝐞𝐱𝐨 𝐇𝐮𝐫𝐝𝐨 𝐊𝐮𝐠𝐮 𝐅𝐢𝐥𝐚𝐧.

Fadlan nagaFadlan naga#Best_Skin_Carela soo xiriir:
0770712173
#Bidhaan_Health_Beuaty
#Best_skin_care",,0,"12/21/2024 06:07",N/A,https://www.facebook.com/bidhaanbeauty/posts/pfbid0mTCr7Z1YMXx5TxZkYEDnWvPZkccSFMosqboxEk2HYSiuQcPVj8LyZXRd4FXdHfiNl,0,0,Photos,,,,,Lifetime,2688,1847,1770,18,17,0,1,38,25,13,,,,,,,,
1117619503702182,100063624278058,"Bidhaan Health & Beauty","JIMCA WANAAGSAN.

#Bidhaan_Health_Beuaty
#Best_skin_care",,0,"12/19/2024 15:24",N/A,https://www.facebook.com/bidhaanbeauty/posts/pfbid0wfLq7epfpCgJmJ6Mg6ZJhrXfzmiCKbz3eKkmezHToPNiVGySQUGPsYQwDjyV1bBSl,0,0,Photos,,,,,Lifetime,1332,936,893,7,7,0,0,7,3,4,,,,,,,,
1116489720481827,100063624278058,"Bidhaan Health & Beauty","𝑪𝒂𝒂𝒇𝒊𝒎𝒂𝒂𝒅𝒌𝒂 𝒎𝒂𝒒𝒂𝒂𝒓𝒌𝒂𝒂𝒈𝒖 𝒘𝒂𝒂 𝒎𝒖𝒅𝒏𝒂𝒂𝒏𝒕𝒆𝒆𝒏𝒂.
Fadlan nagala soo xiriir:
0770712173

#Bidhaan_Health_Beuaty
#Best_skin_care",,0,"12/18/2024 05:02",N/A,https://www.facebook.com/bidhaanbeauty/posts/pfbid02NSmN9w1DBBtrdvAZRPk83BAm7uwLVBbmiDmMt16TWWcAY6gqZL2SPEzyi2gHQuXbl,0,0,Photos,,,,,Lifetime,1595,1100,1033,6,6,0,0,30,9,21,,,,,,,,
1115652510565548,100063624278058,"Bidhaan Health & Beauty","𝑰𝒍𝒂𝒂𝒍𝒊 𝑪𝒂𝒂𝒇𝒊𝒎𝒂𝒂𝒅𝒌𝒂 𝒎𝒂𝒒𝒂𝒂𝒓𝒌𝒂𝒂𝒈𝒂 𝒐𝒐 𝑰𝒔𝒕𝒊𝒄𝒎𝒂𝒂𝒍 𝒅𝒂𝒂𝒘𝒐 𝑲𝒖𝒈𝒖 𝒉𝒂𝒃𝒐𝒐𝒏.

#Bidhaan_Health_Beuaty
#Best_skin_care","𝑰𝒍𝒂𝒂𝒍𝒊 𝑪𝒂𝒂𝒇𝒊𝒎𝒂𝒂𝒅𝒌𝒂 𝒎𝒂𝒒𝒂𝒂𝒓𝒌𝒂𝒂𝒈𝒂 𝒐𝒐 𝑰𝒔𝒕𝒊𝒄𝒎𝒂𝒂𝒍 𝒅𝒂𝒂𝒘𝒐 𝑲𝒖𝒈𝒖 𝒉𝒂𝒃𝒐𝒐𝒏.

#Bidhaan_Health_Beuaty
#Best_skin_care",38,"12/17/2024 02:32",N/A,https://www.facebook.com/bidhaanbeauty/videos/1298575491478838/,0,0,Videos,,,,,Lifetime,1165,1217,1157,16,15,0,1,20,20,,,,1165,4949.123,4.625,0,0,0
1114182687379197,100063624278058,"Bidhaan Health & Beauty","SOO GAAR BIDHAAN HEALTH & BEAUTY OO HELL SKIN CARE TAYO LEH KUGUNA HABOON.

IMAAW MAANT!","SOO GAAR BIDHAAN HEALTH & BEAUTY OO HELL SKIN CARE TAYO LEH KUGUNA HABOON.

IMAAW MAANT!",25,"12/15/2024 05:18",N/A,https://www.facebook.com/bidhaanbeauty/videos/933267518364830/,0,0,Videos,,,,,Lifetime,119419,114273,86241,1095,1049,12,34,2443,2062,,375,6,119419,892590.297,8.758,0,0,0
1113968250733974,100063624278058,"Bidhaan Health & Beauty","Astaamaha lagu ogaado in Vitamin D kugu yaryahay.
#Bidhaan_Health_Beuaty
#Best_skin_care",,0,"12/14/2024 22:20",N/A,https://www.facebook.com/bidhaanbeauty/posts/pfbid09gsLZKDNkDqrjb7Fr56AaL2GVqiUEhQyxtrowoVisa54Jmtmf51axPkeotDpeJJ1l,0,0,Photos,,,,,Lifetime,4075,2699,2570,28,25,0,3,101,28,72,1,,,,,,,
1112356924228440,100063624278058,"Bidhaan Health & Beauty","JIMCA WANAAGSAN.

#bidhaan_health 
#skincareroutine",,0,"12/12/2024 17:00",N/A,https://www.facebook.com/bidhaanbeauty/posts/pfbid02dbMvFdVBkMFjpwMmNn2RLgR2FVAyySoKED8xnwPQ14XaXtnHXkQvzeEfRQPr65jyl,0,0,Photos,,,,,Lifetime,1637,1156,1107,10,10,0,0,16,10,6,,,,,,,,
1111802207617245,100063624278058,"Bidhaan Health & Beauty","Hubi caafimaadka maqaarkaaga.
#bidhaan_health 
#skincareroutine",,0,"12/11/2024 23:21",N/A,https://www.facebook.com/bidhaanbeauty/posts/pfbid02BWh72UepuPZi8xiQArneFiRKpZYvyRWRB5ivWdKooVdHj3Awbfza8d2cNTGRF2vrl,0,0,Photos,,,,,Lifetime,2525,1840,1763,10,8,0,2,23,7,16,,,,,,,,
1109017694562363,100063624278058,"Bidhaan Health & Beauty","Hubi caafimaadka maqaarkaaga oo sii daryeelka ay u baahan yihiin.

#bidhaan_health
#skincareroutine",,0,"12/08/2024 04:26",N/A,https://www.facebook.com/bidhaanbeauty/posts/pfbid0gxC9DBCBYxPZNqBUWjqp5738bgBydE3w3dgPiJaWGL7NXJRbAwq5mePjrhsWVW5Rl,0,0,Photos,,,,,Lifetime,2255,1598,1547,16,16,0,0,7,,7,,,,,,,,
1108978301232969,100063624278058,"Bidhaan Health & Beauty","Oily Face Skin Care Kugu Haboon Bidhaan Kaso Donno Hadda.

30% Discount 🎉🎉","Oily Face Skin Care Kugu Haboon Bidhaan Kaso Donno Hadda.

30% Discount 🎉🎉",34,"12/08/2024 03:23",N/A,https://www.facebook.com/bidhaanbeauty/videos/2014766742373461/,0,0,Videos,,,,,Lifetime,177464,177379,117403,824,793,3,28,835,829,,1,5,177464,1283440.079,7.853,0,0,0
1107135731417226,100063624278058,"Bidhaan Health & Beauty","JIMCA MUBAARAK.

#bidhaan_health",,0,"12/05/2024 14:09",N/A,https://www.facebook.com/bidhaanbeauty/posts/pfbid0oDeKBex9AitktGn7j7CEGd2CcCnVMmTDBvQfWJxbsgZn6uvXHNw3Nh6JjV1RjcDdl,0,0,Photos,,,,,Lifetime,1800,1251,1220,9,9,0,0,8,5,3,,,,,,,,
1104518971678902,100063624278058,"Bidhaan Health & Beauty","Maqaarkaaga wuxuu mudan yahay daryeel iyo daawo habboon! 🌟

#Bidhaan_Health_Beuaty
#Best_skin_care",,0,"12/02/2024 05:12",N/A,https://www.facebook.com/bidhaanbeauty/posts/pfbid034vg3563vCAYCj4jnGMJQpb6nT8FqJJeL6aJySgeSCo5NoEVgUewbQTnkWArUWjFhl,0,0,Photos,,,,,Lifetime,3909,2692,2573,39,38,0,1,98,17,81,,,,,,,,
1103189535145179,100063624278058,"Bidhaan Health & Beauty","Waxaa loo isticmaala ka hortaga iyo xagameenta qatarta ka imaato ileyska qoraxda.

#bidhaan_health 
#skincareroutine",,0,"11/30/2024 08:50",N/A,https://www.facebook.com/bidhaanbeauty/posts/pfbid031w2gQr2G61aYK884s1WmYYNx9czF7RoBHLNMVymbYfvQ4jWfkxSGLQh8ZHiXq6Gpl,0,0,Photos,,,,,Lifetime,4552,3158,3001,51,49,1,1,67,30,37,,,,,,,,
1101927848604681,100063624278058,"Bidhaan Health & Beauty","Jimca Wanaagsan Dhamaan Umada Soomaaliyeed.

#bidhaan_health",,0,"11/28/2024 17:42",N/A,https://www.facebook.com/bidhaanbeauty/posts/pfbid0y5FUDese6KWkrQ88Ye3QJqh9vm1yDgVpj721fcgVYLUS2wRFa3sVv9gW2NCqDeTVl,0,0,Photos,,,,,Lifetime,1192,878,797,9,9,0,0,3,,3,,,,,,,,
1100798575384275,100063624278058,"Bidhaan Health & Beauty","Maka mid tahay dadka qudaarta isticmaalo?

#bidhaan_health 
#skincareroutine",,0,"11/27/2024 05:29",N/A,https://www.facebook.com/bidhaanbeauty/posts/pfbid02A628F4KS8QJm6BB5b8fPcgpf2wnxVCQ4ed5YWL3mRSXoRfTvpouQ8hSX3ie9pw4ml,0,0,Photos,,,,,Lifetime,3486,2469,2338,33,30,0,3,61,16,45,,,,,,,,
