"Video asset ID","Universal video ID","Page ID","Page name",Title,"Duration (sec)","Publish time","Custom labels","Data comment",Date,Impressions,Reach,"3-second video views","1-minute video views","Seconds viewed","Average Seconds viewed","3-Second viewers","1-minute viewers","3-second video views from Boosted posts","3-second video views from Organic posts","Reactions, Comments and Shares",Reactions,Comments,Shares,"Seconds viewed from Recommendations","Seconds viewed from Followers","Seconds viewed from Shares","Seconds viewed from Boosted posts","Average Seconds viewed from Recommendations","Average Seconds viewed from Shares","Average Seconds viewed from Followers","Average Seconds viewed from Boosted posts","1-minute video views from Recommendations","1-minute video views from Followers","1-minute video views from Boosted posts","1-minute video views from Shares"
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,01/26/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,01/27/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,01/28/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,01/29/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,01/30/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,01/31/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,02/01/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,02/02/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,02/03/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,02/04/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,02/05/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,02/06/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,02/07/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,02/08/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,02/09/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,02/10/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,02/11/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,02/12/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,02/13/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,02/14/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,02/15/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,02/16/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,02/17/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,02/18/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,02/19/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,02/20/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,02/21/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,02/22/2025,300,300,83,7,1674.067,6.132,80,7,0,83,3,3,0,0,917.12,756.947,,,4.9574054054054,0,8.6016704545455,0,2,5,,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,02/23/2025,164,161,25,3,584.328,4.46,22,3,11,14,3,3,0,0,88.231,220.061,,276.036,4.41155,0,12.225611111111,2.9681290322581,,2,1,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,02/24/2025,1373,1273,273,33,6592.062,4.967,263,32,264,9,12,12,0,0,159.724,125.154,,6307.184,13.310333333333,0,7.822125,4.8554149345651,2,1,30,
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,02/25/2025,2357,2096,386,39,9872.29,4.401,374,39,375,11,29,28,0,1,80.983,63.415,12.427,9715.465,8.9981111111111,1.7752857142857,4.8780769230769,4.3881955736224,,,39,
1059701189209020,,423008958154572,"Bidhaan Health & Beauty",,41,"01/28/2025 02:04",,,01/01/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
1059701189209020,,423008958154572,"Bidhaan Health & Beauty",,41,"01/28/2025 02:04",,,01/02/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
1059701189209020,,423008958154572,"Bidhaan Health & Beauty",,41,"01/28/2025 02:04",,,01/03/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
1059701189209020,,423008958154572,"Bidhaan Health & Beauty",,41,"01/28/2025 02:04",,,01/04/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
1059701189209020,,423008958154572,"Bidhaan Health & Beauty",,41,"01/28/2025 02:04",,,01/05/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,
