Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
SOM,2003-01-01,2003-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2003,2003,SLC,85.5701465843,E
SOM,2004-01-01,2004-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2004,2004,SLC,91.3851665361,E
SOM,2005-01-01,2005-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2005,2005,SLC,106.0650988021,E
SOM,2006-01-01,2006-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2006,2006,SLC,98.7807960099,E
SOM,2007-01-01,2007-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2007,2007,SLC,102.2550847499,E
SOM,2008-01-01,2008-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2008,2008,SLC,104.3614268982,E
SOM,2009-01-01,2009-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2009,2009,SLC,106.8411918706,E
SOM,2010-01-01,2010-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2010,2010,SLC,90.4443785327,E
SOM,2011-01-01,2011-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2011,2011,SLC,87.8325275277,E
SOM,2012-01-01,2012-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2012,2012,SLC,86.0266517496,E
SOM,2013-01-01,2013-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2013,2013,SLC,92.1856067745,E
SOM,2014-01-01,2014-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2014,2014,SLC,98.5192597353,E
SOM,2015-01-01,2015-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2015,2015,SLC,100.0000000000,E
SOM,2016-01-01,2016-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2016,2016,SLC,99.0547980751,E
SOM,2017-01-01,2017-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2017,2017,SLC,101.1508993540,E
SOM,2018-01-01,2018-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2018,2018,SLC,103.6518789256,E
SOM,2019-01-01,2019-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2019,2019,SLC,113.8191920402,E
SOM,2020-01-01,2020-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2020,2020,SLC,114.1346974722,E
SOM,2021-01-01,2021-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2021,2021,SLC,118.0988102622,E
SOM,2022-01-01,2022-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2022,2022,SLC,122.0958530326,E
SOM,2023-01-01,2023-12-31,201,'706,Somalia,22024,GDP Deflator,62250,"Value Standard Local Currency, 2015 prices",2023,2023,SLC,127.2143602325,E
SOM,1970-01-01,1970-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1970,1970,USD,31.6045096451,E
SOM,1971-01-01,1971-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1971,1971,USD,31.4884988840,E
SOM,1972-01-01,1972-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1972,1972,USD,35.3745319426,E
