page_id,page_name,publish_time,duration_sec,caption_type,post_type,languages,funded_content_status,impressions,reach,video_views_3sec,video_views_1min,seconds_viewed,avg_seconds_viewed,viewers_3sec,viewers_1min,video_views_3sec_boosted,video_views_1min_boosted,video_views_3sec_organic,seconds_viewed_boosted,avg_seconds_viewed_boosted,reactions,comments,shares,seconds_viewed_recommendations,seconds_viewed_followers,seconds_viewed_shares,avg_seconds_viewed_recommendations,avg_seconds_viewed_shares,avg_seconds_viewed_followers,video_views_1min_recommendations,video_views_1min_followers,video_views_1min_shares,estimated_earnings_usd,ad_cpm_usd,ad_impressions,engagement_rate,view_completion_ratio,impressions_per_sec,lag_impressions,rolling_impressions,pct_change_impressions,is_crosspost,is_share,published_date,published_time,day_of_week,month,year,is_weekend,hour,time_of_day,week_of_year,quarter,time_since_last_publish_hr,views_impressions_ratio
423008958154572,Bidhaan Health & Beauty,2021-05-27 15:11:00+03:00,104,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.142857142857143,0.0,0.0,0.0,2021-05-27,15:11:00,Thursday,5,2021,True,15,Afternoon,21,2,0.0,0.0
423008958154572,Bidhaan Health & Beauty,2021-05-27 15:11:00+03:00,104,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.142857142857143,0.0,0.0,0.0,2021-05-27,15:11:00,Thursday,5,2021,True,15,Afternoon,21,2,0.0,0.0
423008958154572,Bidhaan Health & Beauty,2021-05-27 15:11:00+03:00,104,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,2021-05-27,15:11:00,Thursday,5,2021,True,15,Afternoon,21,2,0.0,0.0
423008958154572,Bidhaan Health & Beauty,2021-05-27 15:11:00+03:00,104,0.0,0,0.0,0.0,2.0,2.0,2,1,116.141,38.713,2,1,0,0.0,2,0.0,0.0,0.0,0.0,0.0,7.525,0.0,108.616,3.7625,108.616,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.019230769230769232,2.0,3.0,0.0,0.0,0.0,2021-05-27,15:11:00,Thursday,5,2021,True,15,Afternoon,21,2,0.0,0.5
423008958154572,Bidhaan Health & Beauty,2021-05-27 15:11:00+03:00,104,0.0,0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009615384615384616,8.0,2.0,-0.875,0.0,0.0,2021-05-27,15:11:00,Thursday,5,2021,True,15,Afternoon,21,2,0.0,0.0
423008958154572,Bidhaan Health & Beauty,2021-05-27 15:11:00+03:00,104,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5714285714285714,0.0,0.0,0.0,2021-05-27,15:11:00,Thursday,5,2021,True,15,Afternoon,21,2,0.0,0.0
423008958154572,Bidhaan Health & Beauty,2021-05-27 15:11:00+03:00,104,0.0,0,0.0,0.0,0.0,0.0,1,0,16.961,16.961,1,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,16.961,0.0,0.0,0.0,16.961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,475.42857142857144,0.0,0.0,0.0,2021-05-27,15:11:00,Thursday,5,2021,True,15,Afternoon,21,2,0.0,0.0
423008958154572,Bidhaan Health & Beauty,2021-05-27 15:11:00+03:00,104,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2857142857142857,0.0,0.0,0.0,2021-05-27,15:11:00,Thursday,5,2021,True,15,Afternoon,21,2,0.0,0.0
423008958154572,Bidhaan Health & Beauty,2021-05-27 15:11:00+03:00,104,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,33.0,0.0,0.0,0.0,2021-05-27,15:11:00,Thursday,5,2021,True,15,Afternoon,21,2,0.0,0.0
423008958154572,Bidhaan Health & Beauty,2021-05-27 15:11:00+03:00,104,0.0,0,0.0,0.0,1.0,1.0,1,0,4.57,4.57,1,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,4.57,0.0,0.0,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009615384615384616,0.0,1.4285714285714286,0.0,0.0,0.0,2021-05-27,15:11:00,Thursday,5,2021,True,15,Afternoon,21,2,0.0,0.0
